Date,GOES_class,Start_time,End_time,Instrument,Wavelength,dBIC_0v1,dBIC_0v2,dBIC_2v1,Detection,rchi2_m0,probability_m0,rchi2_m1,probability_m1,rchi2_m2,probability_m2,period,width,Flags
20130515,X1.2,012500,015759,GOES,1-8A,21.65806,2.633912,19.02415,Yes,1.6260768953691362,1.7155484906413492e-05,1.6231863852464083,1.9456487933541212e-05,1.6507431315005361,9.6634286429518169e-06,49.7,0.13696174389432739,"['B0', 'B1', 'B2']"
20130516,M1.3,213601,220259,GOES,1-8A,0.403292,4.883372,-4.48007,No,0.9344063558356086,0.66361506568424677,0.89979076314585682,0.75058707147873771,0.87997061106268115,0.79590297139931798,28.9,0.10580277269200598,[]
20130517,M3.2,084301,091859,GOES,1-8A,16.41559,0.354258,16.06133,Yes,1.5705326565788256,3.5217000077286137e-05,1.4756672001419289,0.00035613752208538081,1.4783112416521538,0.00033146157796094393,51.6,0.25,"['B0', 'B1', 'B2']"
20130520,M1.7,051601,060259,GOES,1-8A,15.85473,51.16504,-35.3103,No,1.2140867472240124,0.029258477932401626,1.1252769156449149,0.1254475118123424,1.0654937112873231,0.26476471764720794,24.7,0.25,[]
20130522,M5.0,130801,140759,GOES,1-8A,6.439008,-6.09559,12.53460,No,2.7086346831995298,2.9938521795564058e-36,2.719494849701936,1.8415244624207958e-36,2.7400109462565987,4.0177421659411366e-37,33.5,0.063778903387913644,"['B0', 'B1', 'B2']"
20130531,M1.0,195200,200558,GOES,1-8A,9.966373,3.406278,6.560095,No,0.84162080759159175,0.7808045629435314,0.69489096267256578,0.94979855385117162,0.80371473581062303,0.83800348300348704,25.9,0.25,[]
20130605,M1.3,081401,092558,GOES,1-8A,75.88327,42.91954,32.96372,Yes,1.4622800542532179,1.4342345048746022e-06,1.1808861020398027,0.023469425510037022,1.1996888368640271,0.014640297641743936,82.6,0.25,['B0']
20130607,M5.9,221100,230359,GOES,1-8A,41.25997,56.71616,-15.4561,No,1.4882180020527231,1.2182717397028513e-05,1.4481972161668069,4.667857756621413e-05,1.3658345041359294,0.00055045906077362127,22.3,0.050000000000000003,"['B0', 'B1', 'B2']"
20130621,M2.9,023000,034259,GOES,1-8A,-15.9812,41.09957,-57.0808,No,0.53885424173110508,0.99999999993464739,0.52206489557373292,0.99999999999060396,0.46253214966598089,0.99999999999999767,,,[]
20130623,M2.9,204800,205858,GOES,1-8A,3.858471,-6.19532,10.05380,No,0.99028081515604915,0.48730703018543831,0.83184239471978938,0.76094653677733537,0.98801269933653979,0.49102304032748079,14.9,0.050000000000000003,[]
20130703,M1.5,070000,071758,GOES,1-8A,23.71297,49.08243,-25.3694,No,1.0326456688167223,0.40411139336909657,0.88112636805567246,0.74037551375548927,0.78224667418098215,0.9001947738060353,16.9,0.25,[]
20130812,M1.5,102100,104658,GOES,1-8A,7.175915,1.506273,5.669641,No,1.019396760908994,0.42821603222258475,0.92098087114329641,0.69389208292405502,1.0122494823383961,0.44739931116677328,18.5,0.059673911481073677,[]
20130817,M3.3,181600,183458,GOES,1-8A,99.25914,61.68797,37.57117,Yes,1.7892800072902331,6.2199258386230467e-05,0.93938686917048331,0.61947626057977445,1.5810473649850225,0.0015540459198347123,11.5,0.24999999999999997,"['B0', 'B2']"
20130817,M1.4,184900,195359,GOES,1-8A,34.63581,23.99562,10.64018,Yes,1.1866918471265264,0.025576889338298527,1.0324231101935148,0.35212719951016425,1.0646594009821808,0.2358517465029123,73.0,0.25,[]
20131009,M2.8,012300,015558,GOES,1-8A,55.85662,7.996800,47.85982,Yes,1.070599433106014,0.28169563894815808,1.0255922163000586,0.4054715873787384,1.0322360707288667,0.38598878038856038,26.1,0.25,[]
20131011,M1.5,070101,074459,GOES,1-8A,15.32164,17.21456,-1.89292,No,1.4761386273884227,8.2793100452495489e-05,1.3790900459944242,0.0010652679262702712,1.4015443186696512,0.00060735012361055342,18.3,0.050000000000000003,"['B0', 'B1', 'B2']"
20131013,M1.7,001200,010458,GOES,1-8A,32.69448,6.131744,26.56273,Yes,0.9660941128104108,0.61919057162057789,0.87379904460079172,0.8963306686777377,0.98155247771859577,0.55896726330313573,20.5,0.074679191074456808,[]
20131015,M1.8,082600,084759,GOES,1-8A,-17.1840,-11.3509,-5.83309,No,0.0014074897000760898,1.0,0.00097968135029730639,1.0,0.00078811066938609773,1.0,,,[]
20131015,M1.3,233100,234058,GOES,1-8A,8.383241,28.44852,-20.0652,No,0.77564366048237743,0.8299275909639291,0.63315803065146326,0.95551146490374139,0.53864841970918609,0.98871371387935736,266.5,0.25,[]
20131017,M1.2,150900,155759,GOES,1-8A,64.00621,19.10451,44.90169,Yes,1.1545759823187831,0.076788316788158395,0.95224036939124435,0.66365453050327305,1.0600597863458412,0.27720131381152247,63.3,0.13153392165631542,[]
20131022,M1.0,001401,002758,GOES,1-8A,12.58201,16.49940,-3.91739,No,1.0587291554594103,0.36106868219441157,0.90203810146554964,0.66932812963282218,0.77943352452536929,0.87038889641037143,9.4,0.078961191924477689,[]
20131022,M1.0,144901,152759,GOES,1-8A,-6.48493,23.91609,-30.4010,No,0.44602416430138792,0.99999999833180209,0.42313303750817338,0.99999999977760856,0.39926951716118381,0.99999999998098432,,,[]
20131022,M4.2,211501,212159,GOES,1-8A,-0.32381,5.077699,-5.40151,No,0.54510322742706385,0.96784230151237693,0.60600319904171085,0.9345273808636555,0.6551560998217999,0.90047359766263479,,,[]
20131023,M2.7,204101,205859,GOES,1-8A,30.00884,27.51105,2.497787,No,1.2922836985165489,0.056252796905636525,1.1410585528120547,0.20488502795183836,1.319282894541479,0.043622448387363823,17.4,0.24999999999999961,[]
20131023,M1.4,233301,234659,GOES,1-8A,73.96615,39.97421,33.99194,Yes,1.3470284789408604,0.050527084582685323,0.75144588241244747,0.901829294550206,1.2474315395950926,0.11253283751734684,13.4,0.21347400138414935,[]
20131023,M3.1,235800,235957,GOES,1-8A,-5.85023,-5.78912,-0.06111,No,0.70423057451540638,0.65776856818223639,0.84033256177669546,0.53429595293174414,0.74594469769547556,0.61258719404502648,,,['S']
20131024,M9.3,002101,003458,GOES,1-8A,-8.38299,5.659907,-14.0428,No,1.3858610312890498,0.036049993948721916,1.1177887886983544,0.26364882564393849,1.0580905465881327,0.36263448736102555,,,[]
20131024,M2.5,095901,101658,GOES,1-8A,2.099858,-3.14808,5.247948,No,1.0199400499427387,0.43193471994799942,0.90814969998266271,0.68413488459270599,0.97640918856945269,0.53051236942546875,18.7,0.25,[]
20131024,M3.5,103001,103659,GOES,1-8A,12.92804,2.412743,10.51529,Yes,1.0091463037998509,0.44961919695668273,0.84520871941383646,0.68169037254244236,0.97060824885422914,0.50328944361130667,17.3,0.24999999999999997,[]
20131025,M2.9,024800,031159,GOES,1-8A,18.19861,11.23759,6.961019,No,1.1069622151578609,0.23183645273485073,0.97624120385814095,0.54248233751363528,1.0462231043051202,0.36305500268217478,25.4,0.24999999999125089,[]
20131025,X1.7,075300,080859,GOES,1-8A,9.288850,12.36920,-3.08035,No,1.2698685957623606,0.080668204072822727,1.2913069557279786,0.06816042702342702,1.2187280760987744,0.12344518600415511,13.4,0.050000000000000003,[]
20131025,M1.0,094301,102458,GOES,1-8A,14.67615,29.87075,-15.1946,No,1.0935264585853075,0.20280004860902862,1.0129615257705127,0.44007485885447972,0.9667686860159681,0.60070265213155349,27.3,0.25,[]
20131025,X2.1,145100,151159,GOES,1-8A,91.97119,39.56220,52.40899,Yes,1.4266263756582391,0.0085580899274431115,1.0734527755603875,0.31041827221320756,1.3586071616549753,0.020663452227440822,11.8,0.25,['B0']
20131025,M1.3,170200,171558,GOES,1-8A,48.32430,43.18510,5.139201,No,1.1917876848457722,0.16512733963520262,0.88419581229472322,0.70330918533991538,0.9309921842141009,0.61263440952581283,22.8,0.25,[]
20131025,M2.3,190501,192359,GOES,1-8A,20.87558,20.67218,0.203395,No,0.81657615579808374,0.86294117844957319,0.66179247799938035,0.98600606923767808,0.65737847982371045,0.98732161401956775,7.9,0.19770521102907568,[]
20131025,M1.9,205400,211259,GOES,1-8A,5.000488,-5.47841,10.47890,No,1.1012984982879432,0.2635826558055992,1.0265957397174266,0.4164502677331367,1.0929848142872514,0.27936081181944178,19.5,0.24999999999999994,[]
20131026,M2.3,055900,061958,GOES,1-8A,10.55923,10.89091,-0.33167,No,1.234380393095323,0.080684573310309746,1.0942706136711975,0.26900636220105045,1.1341321367094563,0.19910086302104638,17.9,0.25,[]
